tid,label,lat,lon
126,C6,40.8331652006224,-73.9418603427692
126,C6,40.8340978041072,-73.9452672225881
126,C6,40.8331652006224,-73.9418603427692
126,C6,40.7646959283254,-73.8851974964414
126,C6,40.7660790376824,-73.8835287094116
126,C6,40.7300987360962,-73.8614527160266
126,C6,40.7497034836652,-73.9878129959106
126,C6,40.6900872257332,-73.9817776229191
126,C6,40.8331652006224,-73.9418603427692
126,C6,40.7116349040813,-74.0102935014651
126,C6,40.9123450467868,-73.9027547836304
126,C6,40.7463791194241,-73.9818906784058
126,C6,40.6904333657826,-73.9852809906006
126,C6,40.7994853414517,-73.9683072897888
126,C6,40.7946757855249,-73.9717626571655
126,C6,40.8331652006224,-73.9418603427692
126,C6,40.7571644769378,-73.9144165607695
126,C6,40.7491426612534,-73.9378380775452
127,C6,40.8340978041072,-73.9452672225881
127,C6,40.5671960000000,-73.8825760000000
127,C6,40.6899127194574,-73.9815044403076
127,C6,40.7085883614824,-73.9910316467285
127,C6,40.8331652006224,-73.9418603427692
127,C6,40.7085883614824,-73.9910316467285
127,C6,40.7590904609109,-73.8300561904907
127,C6,40.7594786665511,-73.8300985117754
127,C6,40.6899127194574,-73.9815044403076
127,C6,40.8487589952160,-73.9382779598236
127,C6,40.8488458333230,-73.9384174346924
127,C6,40.8821407898918,-74.0422647901029
127,C6,40.9141779975907,-74.1776352146310
127,C6,40.7572212983984,-73.9915466308594
127,C6,40.7617816261867,-73.9850546682068
127,C6,40.8155406846180,-73.9584234721819
127,C6,40.8331652006224,-73.9418603427692
127,C6,40.8341815824087,-73.9451873302460
127,C6,40.8346576535679,-73.9451868588011
127,C6,40.8331652006224,-73.9418603427692
127,C6,40.8341610206876,-73.9450376116797
127,C6,40.8331652006224,-73.9418603427692
128,C6,40.6604738351670,-73.8302910891864
128,C6,40.6086420833785,-73.8190376758575
128,C6,40.7340555764763,-73.8708472251892
128,C6,40.7333724746837,-73.8711404741537
128,C6,40.7631337910326,-73.8752118314646
128,C6,40.7572212983984,-73.9915466308594
128,C6,40.7564898726738,-73.9862680435181
128,C6,40.8155406846180,-73.9584234721819
128,C6,40.8331652006224,-73.9418603427692
128,C6,40.8312828264783,-73.9413925020210
128,C6,40.6900872257332,-73.9817776229191
128,C6,40.8278390825735,-73.9257681369781
128,C6,40.8331652006224,-73.9418603427692
128,C6,40.7085883614824,-73.9910316467285
128,C6,40.6914746462291,-73.9873838424683
128,C6,40.7306323510853,-73.9996371281808
128,C6,40.8002312249141,-73.8288116455078
128,C6,40.8604664913413,-73.9255428314209
129,C6,40.8213441496323,-73.9540386199951
129,C6,40.6900872257332,-73.9817776229191
129,C6,40.6897825572405,-73.9810752868652
129,C6,40.6889893757358,-73.9812992513180
129,C6,40.6621697108633,-73.8648409015367
129,C6,40.6963140173316,-73.9906616720344
129,C6,40.6887540940881,-73.9806412614152
129,C6,40.7085883614824,-73.9910316467285
129,C6,40.7710592625284,-73.9176545604588
129,C6,40.7660790376824,-73.8835287094116
129,C6,40.8032918643619,-73.9328276594543
129,C6,40.6904333657826,-73.9852809906006
129,C6,40.6900872257332,-73.9817776229191
129,C6,40.6899127194574,-73.9815044403076
129,C6,40.6963140173316,-73.9906616720344
129,C6,40.6887540940881,-73.9806412614152
129,C6,40.7661619622658,-73.9775764953862
129,C6,40.8331652006224,-73.9418603427692
129,C6,40.6900872257332,-73.9817776229191
129,C6,40.7136501283367,-73.8302671865530
129,C6,40.6901232953871,-73.9840790213382
129,C6,40.8079950658704,-73.9638555049896
130,C6,40.8331652006224,-73.9418603427692
130,C6,40.6755365089077,-73.8717549157205
130,C6,40.6990888502098,-73.8067627956945
130,C6,40.7519046092262,-73.9866960394024
130,C6,40.7014573241921,-74.0132142884719
130,C6,40.8332608333333,-73.9458155500000
130,C6,40.8173027038574,-73.9585418701172
130,C6,40.7738390000000,-73.8712200000000
130,C6,40.7631337910326,-73.8752118314646
