method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-05 17:43:32.311190,20.052808900776743,0.15063350539652745,0.344908493664946,0.06944573757540053,0.08732795361345201,0.09700030961362645,1.0,8.761630304974714,0.13495782567947517,0.3402061855670103,0.05647770544395537,0.07002895785654119,0.08180158730158729,1.0
OURS,2.0,MARC-specific,2020-07-05 17:43:36.971278,6.016735726933365,0.3688409197559831,0.6027686532144533,0.24828983222367648,0.28778980676239,0.2854136076099107,1.0,3.9085223446857627,0.35332708528584816,0.5904404873477038,0.2255375838764966,0.24085278132747048,0.2649126984126984,1.0
OURS,3.0,MARC-specific,2020-07-05 17:43:41.598214,3.7414739070392895,0.6044110746128578,0.8108869075551385,0.5019875864573168,0.5658885207416764,0.526589018064047,1.0,2.567334093998388,0.5791940018744143,0.7760074976569822,0.46846771165912515,0.4987040682389107,0.498718253968254,1.0
OURS,4.0,MARC-specific,2020-07-05 17:43:46.316228,2.7457606382965203,0.7780384795870483,0.8988737681839511,0.7116840823604067,0.7764110208935195,0.7251003125581731,1.0,1.7672738001071748,0.7338331771321462,0.8566073102155577,0.6453094464046645,0.6661840028163558,0.6723862433862433,1.0
OURS,5.0,MARC-specific,2020-07-05 17:43:51.028481,1.9800869529094007,0.8754106053496011,0.9500234631628344,0.8381814439355876,0.8690910021887411,0.8443619728174006,1.0,1.2889423845187458,0.8088097469540768,0.9165885660731021,0.7502195916398702,0.7746309708809708,0.7661402116402116,1.0
OURS,6.0,MARC-specific,2020-07-05 17:43:55.757386,1.4508827825154234,0.9246832473017362,0.9772407320506804,0.9112868392921458,0.9413555066966902,0.9077726964445901,1.0,1.0158346778562164,0.8603561387066542,0.9343955014058107,0.8217994979564639,0.8503125485625485,0.8294312169312169,1.0
OURS,7.0,MARC-specific,2020-07-05 17:44:00.398638,1.1002883575489575,0.9624589394650399,0.9877991553261379,0.957046314680936,0.9681788036887614,0.9547102292368567,1.0,0.8313169509535542,0.9006560449859419,0.9493908153701968,0.8716431950918019,0.896975431975432,0.8769312169312169,1.0
OURS,8.0,MARC-specific,2020-07-05 17:44:05.066407,0.836098827481102,0.9784138901923979,0.992961051149695,0.9751759145220608,0.9801134646729992,0.9743044823553032,1.0,0.7000037053531872,0.9137769447047798,0.9606373008434864,0.8926303396465936,0.9144670514670514,0.8973201058201058,1.0
OURS,9.0,MARC-specific,2020-07-05 17:44:09.803914,0.642641130885514,0.9889723134678554,0.997184420459878,0.9877194789673062,0.9896710347966423,0.9873143721246808,1.0,0.609794468162433,0.9287722586691659,0.9653233364573571,0.9101777302218479,0.9326798941798942,0.912431216931217,1.0
OURS,10.0,MARC-specific,2020-07-05 17:44:14.518061,0.5098132568589403,0.994838104176443,0.9992961051149695,0.994325713785383,0.9956219983555006,0.9936684257771216,1.0,0.548931025687846,0.9334582942830365,0.9671977507029054,0.9190381675963518,0.9410780423280424,0.9204682539682539,1.0
OURS,11.0,MARC-specific,2020-07-05 17:44:19.140241,0.4095896391843977,0.9974190520882215,0.9992961051149695,0.9967739497391283,0.9977644342520773,0.9961878306878307,1.0,0.500672253304368,0.9409559512652296,0.9681349578256795,0.9243770987354579,0.9425740740740741,0.9276349206349206,1.0
OURS,12.0,MARC-specific,2020-07-05 17:44:23.782287,0.33245271687662026,0.999061473486626,0.9997653683716565,0.9987987521260472,0.9991506172839505,0.9985648148148148,1.0,0.46727130171732023,0.9381443298969072,0.9681349578256795,0.9229655230390524,0.9419933862433862,0.9264126984126984,0.0
OURS,13.0,MARC-specific,2020-07-05 17:44:28.442217,0.27138441272433067,0.999530736743313,1.0,0.9993626977360992,0.9994847020933977,0.9993055555555557,1.0,0.43677880427160326,0.943767572633552,0.9690721649484536,0.92715391416862,0.9434074074074075,0.9309682539682539,1.0
OURS,14.0,MARC-specific,2020-07-05 17:44:33.214409,0.2297981793208617,0.9997653683716565,1.0,0.9996876876876877,0.9998245614035087,0.9995833333333334,1.0,0.421452278356856,0.943767572633552,0.9671977507029054,0.9276240458887518,0.9447129629629629,0.9310476190476191,0.0
